949209	subst.	NOU-C(gender=n,number=sg,wf=abbr)	substantief
949208	loc.	NOU-C(gender=m,number=sg,wf=abbr)	locativus
100246	eto	NOU-C(gender=n,number=sg,wf=abbr)	eenvoudig technisch onderwijs
949210	subst.	NOU-C(gender=n,number=sg,wf=abbr)	substantivum
933802	betr.	ADP(type=pre,wf=abbr)	betreffende
197690	bao	NOU-C(gender=n,number=sg,wf=abbr)	basisonderwijs
98756	glo	NOU-C(gender=n,number=sg,wf=abbr)	gewoon lager onderwijs
159164	mp3	NOU-C(gender=m/f,number=sg,wf=abbr)	moving pic­tures ex­perts group, layer three; geluidsbestand
949126	XXS	AA(degree=pos,wf=abbr)	extra extra small
942171	werkw.	AA(degree=pos,wf=abbr)	werkwoordelijk
190854	TSE	NOU-C(gender=f,number=sg,wf=abbr)	transmissible spongiform encephalopathy
197699	bdsm	NOU-C(gender=m/n,number=sg,wf=abbr)	bondage and discipline, dominance and submission, sadism and masochism
171435	avo	NOU-C(gender=n,number=sg,wf=abbr)	algemeen voortgezet onderwijs
904929	KANS	NOU-C(number=pl,wf=abbr)	klachten aan arm, nek en/of schouder
151813	larp	NOU-C(gender=m/f,number=sg,wf=abbr)	live-action role-playing
949127	XXXS	AA(degree=pos,wf=abbr)	extra extra extra small
903720	lhbti	NOU-C(gender=m/f,number=sg,wf=abbr)	lesbienne, homo, biseksueel, transgender, interseks(ueel)
904401	st.v.	ADV(type=reg,wf=abbr)	stilo veteri; stili veteris
926837	v	AA(degree=pos,wf=abbr)	voldoende
97637	holebi	NOU-C(gender=m/f,number=sg,wf=abbr)	homo(seksueel), lesbienne, biseksueel
936505	3-MMC	NOU-C(gender=n,number=sg,wf=abbr)	3-methylmethcathinon
936506	4-MMC	NOU-C(gender=n,number=sg,wf=abbr)	4-methylmethcathinon
948159	avg	NOU-C(gender=m,number=sg,wf=abbr)	aardappelen, vlees, groente
948029	cvb	NOU-C(gender=n,number=sg,wf=abbr)	college van beheer
945639	EZK	NOU-P(gender=n,number=sg,wf=abbr)	(ministerie van) Economische Zaken en Klimaat
945636	BZK	NOU-P(gender=n,number=sg,wf=abbr)	(ministerie van) Binnenlandse Zaken en Koninkrijksrelaties
944080	CPO	NOU-C(gender=m,number=sg,wf=abbr)	chief privacy officer
945618	bulo	NOU-C(gender=n,number=sg,wf=abbr)	buitengewoon lager onderwijs
945619	bubao	NOU-C(gender=n,number=sg,wf=abbr)	buitengewoon basisonderwijs
947955	bvo	NOU-C(gender=n,number=sg,wf=abbr)	bier voor onderweg
945621	avklo	NOU-C(gender=m/f,number=sg,wf=abbr)	avondklok
947930	lhbtiqapc+	NOU-C(gender=m/f/n,number=sg,wf=abbr)	lesbienne, homo, biseksueel, transgender, interseks(ueel), queer, agender, panseksueel, cisgender en overige
945634	AZ	NOU-P(gender=n,number=sg,wf=abbr)	(ministerie van) Algemene Zaken
175834	e.v.a.	RES(type=oth,wf=abbr)	en vele andere; en vele anderen
946100	wzc	NOU-C(gender=n,number=sg,wf=abbr)	woonzorgcentrum
946102	wozoco	NOU-C(gender=m/n,number=sg,wf=abbr)	woonzorgcomplex
198634	h.g.	INT(type=form,wf=abbr)	hartelijke groet; hartelijke groeten
948031	rvt	NOU-C(gender=n,number=sg,wf=abbr)	rust- en verzorgingstehuis
