zin_id,system,cover_text,stego_text,capacity_bits,bits_hidden,ppl_cover,ppl_stego,delta_ppl
1,synonyms,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gespeeld in de stedelijke cultuur.,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gedragen in de stedelijke cultuur.,3,3,5.0888174010033875,9.726878886312692,4.638061485309304
1,abbreviations,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gespeeld in de stedelijke cultuur.,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gespeeld in de stedelijke cultuur.,0,0,5.0888174010033875,5.0888174010033875,0.0
1,combined,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gespeeld in de stedelijke cultuur.,Het koffiehuis heeft door de eeuwen heen een bijzondere rol gedragen in de stedelijke cultuur.,3,3,5.0888174010033875,9.726878886312692,4.638061485309304
2,synonyms,"De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.","De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.",1,1,3.3754499055483724,3.3754499055483724,0.0
2,abbreviations,"De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.","De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.",0,0,3.3754499055483724,3.3754499055483724,0.0
2,combined,"De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.","De eerste koffiehuizen ontstonden in het Midden-Oosten, waar ze al snel sociale ontmoetingsplaatsen werden.",1,1,3.3754499055483724,3.3754499055483724,0.0
3,synonyms,In de zestiende eeuw verspreidde de gewoonte van koffiedrinken zich naar Europa via handelaren en reizigers.,In de zestiende eeuw verspreidde de praktijk van koffiedrinken zich naar Europa via handelaren en reizigers.,2,2,4.698215945482075,5.0181857102295355,0.3199697647474604
3,abbreviations,In de zestiende eeuw verspreidde de gewoonte van koffiedrinken zich naar Europa via handelaren en reizigers.,In de zestiende eeuw verspreidde de gewoonte van koffiedrinken zich naar Europa via handelaren en reizigers.,0,0,4.698215945482075,4.698215945482075,0.0
3,combined,In de zestiende eeuw verspreidde de gewoonte van koffiedrinken zich naar Europa via handelaren en reizigers.,In de zestiende eeuw verspreidde de praktijk van koffiedrinken zich naar Europa via handelaren en reizigers.,2,2,4.698215945482075,5.0181857102295355,0.3199697647474604
4,synonyms,"Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.","Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.",0,0,5.909539169012316,5.909539169012316,0.0
4,abbreviations,"Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.","Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.",0,0,5.909539169012316,5.909539169012316,0.0
4,combined,"Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.","Venetië opende in 1645 het eerste Europese koffiehuis, dat al snel navolging kreeg in andere steden.",0,0,5.909539169012316,5.909539169012316,0.0
5,synonyms,Londen kende in de zeventiende eeuw honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,Londen kende in de zeventiende tijd honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,1,1,6.2874485550417445,22.32128315441781,16.033834599376064
5,abbreviations,Londen kende in de zeventiende eeuw honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,Londen kende in de zeventiende eeuw honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,0,0,6.2874485550417445,6.2874485550417445,0.0
5,combined,Londen kende in de zeventiende eeuw honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,Londen kende in de zeventiende tijd honderden koffiehuizen waar intellectuelen elkaar ontmoetten.,1,1,6.2874485550417445,22.32128315441781,16.033834599376064
6,synonyms,Deze Londense etablissementen werden ook wel 'penny universities' genoemd vanwege de levendige debatten.,Deze Londense etablissementen werden ook wel 'penny universities 'genoemd vanwege de levendige debatten.,0,0,13.831265601710273,13.831265601710273,0.0
6,abbreviations,Deze Londense etablissementen werden ook wel 'penny universities' genoemd vanwege de levendige debatten.,Deze Londense etablissementen werden ook wel 'penny universities' genoemd vanwege de levendige debatten.,0,0,13.831265601710273,13.831265601710273,0.0
6,combined,Deze Londense etablissementen werden ook wel 'penny universities' genoemd vanwege de levendige debatten.,Deze Londense etablissementen werden ook wel 'penny universities 'genoemd vanwege de levendige debatten.,0,0,13.831265601710273,13.831265601710273,0.0
7,synonyms,"Voor slechts een stuiver kon iedereen deelnemen aan gesprekken over politiek, wetenschap en kunst.","Voor slechts een stuiver kon iedereen deelnemen aan debat over politiek, wetenschap en kunst.",1,1,5.4382417125133955,5.764115229148169,0.3258735166347737
7,abbreviations,"Voor slechts een stuiver kon iedereen deelnemen aan gesprekken over politiek, wetenschap en kunst.","vr slechts een stuiver kon iedereen deelnemen aan gesprekken over politiek, wetenschap en kunst.",1,1,5.4382417125133955,23.860043330632273,18.421801618118877
7,combined,"Voor slechts een stuiver kon iedereen deelnemen aan gesprekken over politiek, wetenschap en kunst.","Voor slechts een stuiver kon iedereen deelnemen aan debat over politiek, wetenschap en kunst.",2,2,5.4382417125133955,5.764115229148169,0.3258735166347737
8,synonyms,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,0,0,7.244409683962501,7.244409683962501,0.0
8,abbreviations,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,0,0,7.244409683962501,7.244409683962501,0.0
8,combined,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,Het Weense koffiehuis ontwikkelde zich tot een unieke instelling met een eigen cultuur.,0,0,7.244409683962501,7.244409683962501,0.0
9,synonyms,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,1,1,5.7153158338405285,5.7153158338405285,0.0
9,abbreviations,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,0,0,5.7153158338405285,5.7153158338405285,0.0
9,combined,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,Gasten konden er urenlang blijven zitten met slechts één kopje koffie en stapels kranten.,1,1,5.7153158338405285,5.7153158338405285,0.0
10,synonyms,"Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.","Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.",1,1,17.761590671648015,17.761590671648015,0.0
10,abbreviations,"Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.","Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.",0,0,17.761590671648015,17.761590671648015,0.0
10,combined,"Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.","Schrijvers, componisten en denkers maakten van deze Weense etablissementen hun tweede huiskamer.",1,1,17.761590671648015,17.761590671648015,0.0
11,synonyms,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,1,1,15.154745023901093,15.154745023901093,0.0
11,abbreviations,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,0,0,15.154745023901093,15.154745023901093,0.0
11,combined,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,In Parijs werden de cafés centra van literaire en filosofische bewegingen.,1,1,15.154745023901093,15.154745023901093,0.0
12,synonyms,De existentialisten vergaderden bijvoorbeeld in Café de Flore en Les Deux Magots.,De existentialisten vergaderden bijvoorbeeld in Café de Flore en Les Deux Magots.,0,0,18.41068376919615,18.41068376919615,0.0
12,abbreviations,De existentialisten vergaderden bijvoorbeeld in Café de Flore en Les Deux Magots.,De existentialisten vergaderden bv. in Café de Flore en Les Deux Magots.,1,1,18.41068376919615,17.640159868950327,-0.7705239002458235
12,combined,De existentialisten vergaderden bijvoorbeeld in Café de Flore en Les Deux Magots.,De existentialisten vergaderden bv. in Café de Flore en Les Deux Magots.,1,1,18.41068376919615,17.640159868950327,-0.7705239002458235
13,synonyms,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun werk.,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun oeuvre.,2,2,2.978958489782264,2.957739143680378,-0.02121934610188614
13,abbreviations,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun werk.,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun werk.,0,0,2.978958489782264,2.978958489782264,0.0
13,combined,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun werk.,Jean-Paul Sartre en Simone de Beauvoir schreven daar grote delen van hun oeuvre.,2,2,2.978958489782264,2.957739143680378,-0.02121934610188614
14,synonyms,Ook het Nederlandse koffiehuis heeft een rijke traditie die teruggaat tot de zeventiende eeuw.,Ook het Nederlandse koffiehuis kennen een rijke traditie die teruggaat tot de zeventiende eeuw.,2,2,3.8031197682275883,5.808976624915041,2.0058568566874526
14,abbreviations,Ook het Nederlandse koffiehuis heeft een rijke traditie die teruggaat tot de zeventiende eeuw.,Ook het Nederlandse koffiehuis heeft een rijke traditie die teruggaat tot de zeventiende eeuw.,0,0,3.8031197682275883,3.8031197682275883,0.0
14,combined,Ook het Nederlandse koffiehuis heeft een rijke traditie die teruggaat tot de zeventiende eeuw.,Ook het Nederlandse koffiehuis kennen een rijke traditie die teruggaat tot de zeventiende eeuw.,2,2,3.8031197682275883,5.808976624915041,2.0058568566874526
15,synonyms,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,0,0,33.35330013316758,33.35330013316758,0.0
15,abbreviations,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,0,0,33.35330013316758,33.35330013316758,0.0
15,combined,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,In Amsterdam werden de eerste koffiehuizen geopend nabij de haven en handelsbeurzen.,0,0,33.35330013316758,33.35330013316758,0.0
16,synonyms,Kooplieden bespraken er hun zaken terwijl ze genoten van de exotische drank.,Kooplieden bespraken er hun zaken terwijl ze genoten van de exotische drank.,1,1,10.568460334956699,10.568460334956699,0.0
16,abbreviations,Kooplieden bespraken er hun zaken terwijl ze genoten van de exotische drank.,Kooplieden bespraken er hun zaken terwijl ze genoten v.d. exotische drank.,1,1,10.568460334956699,26.598475917055293,16.030015582098592
16,combined,Kooplieden bespraken er hun zaken terwijl ze genoten van de exotische drank.,Kooplieden bespraken er hun zaken terwijl ze genoten van de exotische drank.,2,2,10.568460334956699,10.568460334956699,0.0
17,synonyms,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,0,0,15.82172792714775,15.82172792714775,0.0
17,abbreviations,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,0,0,15.82172792714775,15.82172792714775,0.0
17,combined,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,De architectuur van klassieke koffiehuizen weerspiegelt vaak de tijdgeest van hun ontstaan.,0,0,15.82172792714775,15.82172792714775,0.0
18,synonyms,"Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.","Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.",2,2,1.8799841992303776,1.8799841992303776,0.0
18,abbreviations,"Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.","Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.",0,0,1.8799841992303776,1.8799841992303776,0.0
18,combined,"Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.","Hoge plafonds, grote spiegels en kristallen kroonluchters creëerden een sfeer van elegantie.",2,2,1.8799841992303776,1.8799841992303776,0.0
19,synonyms,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,1,1,13.613173615291426,13.613173615291426,0.0
19,abbreviations,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,0,0,13.613173615291426,13.613173615291426,0.0
19,combined,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,Marmeren tafeltjes en fluwelen banken nodigden uit tot langdurig vertoeven.,1,1,13.613173615291426,13.613173615291426,0.0
20,synonyms,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,2,2,3.6333198508405897,3.6333198508405897,0.0
20,abbreviations,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,0,0,3.6333198508405897,3.6333198508405897,0.0
20,combined,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,In de twintigste eeuw kreeg het koffiehuis concurrentie van modernere etablissementen.,2,2,3.6333198508405897,3.6333198508405897,0.0
21,synonyms,Toch bleven veel traditionele zaken bestaan dankzij hun historische waarde en trouwe clientèle.,Toch bleven veel traditionele zaken leven dankzij hun historische waarde en trouwe clientèle.,2,2,10.233433282863128,14.39989282500057,4.166459542137442
21,abbreviations,Toch bleven veel traditionele zaken bestaan dankzij hun historische waarde en trouwe clientèle.,Toch bleven veel traditionele zaken bestaan dankzij hun historische waarde en trouwe clientèle.,0,0,10.233433282863128,10.233433282863128,0.0
21,combined,Toch bleven veel traditionele zaken bestaan dankzij hun historische waarde en trouwe clientèle.,Toch bleven veel traditionele zaken leven dankzij hun historische waarde en trouwe clientèle.,2,2,10.233433282863128,14.39989282500057,4.166459542137442
22,synonyms,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,0,0,4.088544797234784,4.088544797234784,0.0
22,abbreviations,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,0,0,4.088544797234784,4.088544797234784,0.0
22,combined,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,De komst van Starbucks in de jaren negentig veranderde de koffiecultuur wereldwijd.,0,0,4.088544797234784,4.088544797234784,0.0
23,synonyms,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,0,0,35.1978431176088,35.1978431176088,0.0
23,abbreviations,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,0,0,35.1978431176088,35.1978431176088,0.0
23,combined,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,Plotseling werd koffie een mobiel product dat onderweg geconsumeerd kon worden.,0,0,35.1978431176088,35.1978431176088,0.0
24,synonyms,De focus verschoof van het verblijven naar het meenemen en snel consumeren.,De focus verschoof van het verblijven naar het meenemen en snel consumeren.,1,1,21.59297262774691,21.59297262774691,0.0
24,abbreviations,De focus verschoof van het verblijven naar het meenemen en snel consumeren.,De focus verschoof van het verblijven naar het meenemen en snel consumeren.,1,1,21.59297262774691,21.59297262774691,0.0
24,combined,De focus verschoof van het verblijven naar het meenemen en snel consumeren.,De focus verschoof v.h. verblijven naar het meenemen en snel consumeren.,2,2,21.59297262774691,73.55171015132623,51.95873752357932
25,synonyms,Tegenwoordig zien we een beweging terug naar ambachtelijke koffiebereiding en kwaliteit.,Tegenwoordig proberen we een beweging terug naar ambachtelijke koffiebereiding en kwaliteit.,1,1,28.998733768738507,50.43583145685726,21.43709768811875
25,abbreviations,Tegenwoordig zien we een beweging terug naar ambachtelijke koffiebereiding en kwaliteit.,Tegenwoordig zien we een beweging terug naar ambachtelijke koffiebereiding en kwal..,1,1,28.998733768738507,150.05774900403406,121.05901523529556
25,combined,Tegenwoordig zien we een beweging terug naar ambachtelijke koffiebereiding en kwaliteit.,Tegenwoordig proberen we een beweging terug naar ambachtelijke koffiebereiding en kwal..,2,2,28.998733768738507,265.1115524175765,236.112818648838
26,synonyms,Specialty coffee shops leggen de nadruk op de herkomst van de bonen en bereidingsmethoden.,Specialty coffee shops leggen de nadruk op de oorsprong van de bonen en bereidingsmethoden.,2,2,8.851263514693757,9.445723024435292,0.5944595097415348
26,abbreviations,Specialty coffee shops leggen de nadruk op de herkomst van de bonen en bereidingsmethoden.,Specialty coffee shops leggen de nadruk op de herkomst van de bonen en bereidingsmethoden.,1,1,8.851263514693757,8.851263514693757,0.0
26,combined,Specialty coffee shops leggen de nadruk op de herkomst van de bonen en bereidingsmethoden.,Specialty coffee shops leggen de nadruk op de oorsprong van de bonen en bereidingsmethoden.,3,3,8.851263514693757,9.445723024435292,0.5944595097415348
27,synonyms,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,2,2,12.259624649213121,12.259624649213121,0.0
27,abbreviations,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,0,0,12.259624649213121,12.259624649213121,0.0
27,combined,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,Barista's worden getraind als vakspecialisten die hun vak serieus nemen.,2,2,12.259624649213121,12.259624649213121,0.0
